name,url,year_drafted,pick,year_1_av,year_2_av,year_3_av,year_4_av,year_5_av
Jared Goff,https://www.pro-football-reference.com/players/G/GoffJa00.htm,2016,1,NaN,15,18,12,10
Carson Wentz,https://www.pro-football-reference.com/players/W/WentCa00.htm,2016,2,10,13,9,12,5
Joey Bosa,https://www.pro-football-reference.com/players/B/BosaJo00.htm,2016,3,5,13,4,12,9
Ezekiel Elliott,https://www.pro-football-reference.com/players/E/ElliEz00.htm,2016,4,16,9,15,11,7
Jalen Ramsey,https://www.pro-football-reference.com/players/R/RamsJa00.htm,2016,5,8,15,10,6,15
Ronnie Stanley,https://www.pro-football-reference.com/players/S/StanRo00.htm,2016,6,5,8,8,17,4
DeForest Buckner,https://www.pro-football-reference.com/players/B/BuckDe00.htm,2016,7,7,7,10,16,15
Jack Conklin,https://www.pro-football-reference.com/players/C/ConkJa00.htm,2016,8,14,8,4,8,16
Leonard Floyd,https://www.pro-football-reference.com/players/F/FloyLe00.htm,2016,9,6,6,9,7,12
Eli Apple,https://www.pro-football-reference.com/players/A/ApplEl00.htm,2016,10,5,3,4,4,0
Vernon Hargreaves III,https://www.pro-football-reference.com/players/H/HargVe00.htm,2016,11,5,2,0,3.333333333,5
Sheldon Rankins,https://www.pro-football-reference.com/players/R/RankSh00.htm,2016,12,1,7,7,1,2
Laremy Tunsil,https://www.pro-football-reference.com/players/T/TunsLa00.htm,2016,13,6,6,6,10,10
Karl Joseph,https://www.pro-football-reference.com/players/J/JoseKa00.htm,2016,14,4,5,3,3,3
Corey Coleman,https://www.pro-football-reference.com/players/C/ColeCo00.htm,2016,15,3,2,1,NaN,NaN
Taylor Decker,https://www.pro-football-reference.com/players/D/DeckTa00.htm,2016,16,8,4,7,6,8
Keanu Neal,https://www.pro-football-reference.com/players/N/NealKe01.htm,2016,17,4,8,0,1,5
Ryan Kelly,https://www.pro-football-reference.com/players/K/KellRy00.htm,2016,18,10,3,6,10,11
Shaq Lawson,https://www.pro-football-reference.com/players/L/LawsSh00.htm,2016,19,1,4,4,3,6
