name,url,year_drafted,pick,year_1_av,year_2_av,year_3_av,year_4_av,year_5_av
Eric Fisher,https://www.pro-football-reference.com/players/F/FishEr00.htm,2013,1,6,8,8,6,9
Luke Joeckel,https://www.pro-football-reference.com/players/J/JoecLu00.htm,2013,2,2,6,7,2,5
Dion Jordan,https://www.pro-football-reference.com/players/J/JordDi00.htm,2013,3,2,1,NaN,NaN,1
Lane Johnson,https://www.pro-football-reference.com/players/J/JohnLa01.htm,2013,4,7,6,7,3,15
Ezekiel Ansah,https://www.pro-football-reference.com/players/A/AnsaEz00.htm,2013,5,6,9,12,5,7
Barkevious Mingo,https://www.pro-football-reference.com/players/M/MingBa00.htm,2013,6,3,6,2,1,4
Jonathan Cooper,https://www.pro-football-reference.com/players/C/CoopJo01.htm,2013,7,NaN,1,6,1,7
Tavon Austin,https://www.pro-football-reference.com/players/A/AustTa00.htm,2013,8,6,4,7,4,3
Dee Milliner,https://www.pro-football-reference.com/players/M/MillDe00.htm,2013,9,5,1,0,NaN,NaN
Chance Warmack,https://www.pro-football-reference.com/players/W/WarmCh00.htm,2013,10,8,6,6,1,2
D.J. Fluker,https://www.pro-football-reference.com/players/F/FlukDJ00.htm,2013,11,9,8,6,8,2
D.J. Hayden,https://www.pro-football-reference.com/players/H/HaydDJ00.htm,2013,12,1,3,4,1,2
Sheldon Richardson,https://www.pro-football-reference.com/players/R/RichSh00.htm,2013,13,13,11,6,6,8
Star Lotulelei,https://www.pro-football-reference.com/players/L/LotuSt00.htm,2013,14,9,6,6,7,6
Kenny Vaccaro,https://www.pro-football-reference.com/players/V/VaccKe00.htm,2013,15,6,5,4,4,5
EJ Manuel,https://www.pro-football-reference.com/players/M/ManuEJ00.htm,2013,16,5,2,2,1,1
Jarvis Jones,https://www.pro-football-reference.com/players/J/JoneJa05.htm,2013,17,4,2,7,5,NaN
Eric Reid,https://www.pro-football-reference.com/players/R/ReidEr00.htm,2013,18,8,7,5,4,5
Justin Pugh,https://www.pro-football-reference.com/players/P/PughJu00.htm,2013,19,6,7,7,4,3
Kyle Long,https://www.pro-football-reference.com/players/L/LongKy00.htm,2013,20,11,11,11,3,3
Tyler Eifert,https://www.pro-football-reference.com/players/E/EifeTy00.htm,2013,21,4,0,6,3,0
Desmond Trufant,https://www.pro-football-reference.com/players/T/TrufDe00.htm,2013,22,5,6,10,3,7
Sharrif Floyd,https://www.pro-football-reference.com/players/F/FloySh00.htm,2013,23,1,6,6,0,NaN
Bjoern Werner,https://www.pro-football-reference.com/players/W/WernBj00.htm,2013,24,2,7,1,NaN,NaN
Xavier Rhodes,https://www.pro-football-reference.com/players/R/RhodXa00.htm,2013,25,2,6,6,9,13
Datone Jones,https://www.pro-football-reference.com/players/J/JoneDa03.htm,2013,26,2,3,2,3,0.666666667
DeAndre Hopkins,https://www.pro-football-reference.com/players/H/HopkDe00.htm,2013,27,5,10,11,7,10
Sylvester Williams,https://www.pro-football-reference.com/players/W/WillSy00.htm,2013,28,3,6,7,7,5
Cordarrelle Patterson,https://www.pro-football-reference.com/players/P/PattCo00.htm,2013,29,8,4,2,5,3
Alec Ogletree,https://www.pro-football-reference.com/players/O/OgleAl00.htm,2013,30,8,9,2,13,8
