name,url,year_drafted,pick,year_1_av,year_2_av,year_3_av,year_4_av,year_5_av
Jadeveon Clowney,https://www.pro-football-reference.com/players/C/ClowJa00.htm,2014,1,1,5,14,10,12
Greg Robinson,https://www.pro-football-reference.com/players/R/RobiGr01.htm,2014,2,5,5,4,3,4
Blake Bortles,https://www.pro-football-reference.com/players/B/BortBl00.htm,2014,3,5,14,10,13,6
Sammy Watkins,https://www.pro-football-reference.com/players/W/WatkSa00.htm,2014,4,8,10,4,6,6
Khalil Mack,https://www.pro-football-reference.com/players/M/MackKh00.htm,2014,5,7,15,16,11,17
Jake Matthews,https://www.pro-football-reference.com/players/M/MattJa00.htm,2014,6,8,7,11,9,12
Mike Evans,https://www.pro-football-reference.com/players/E/EvanMi00.htm,2014,7,8,10,10,8,11
Justin Gilbert,https://www.pro-football-reference.com/players/G/GilbJu00.htm,2014,8,2,1,1,NaN,NaN
Anthony Barr,https://www.pro-football-reference.com/players/B/BarrAn00.htm,2014,9,7,9,10,11,9
Eric Ebron,https://www.pro-football-reference.com/players/E/EbroEr00.htm,2014,10,2,4,6,5,7
Taylor Lewan,https://www.pro-football-reference.com/players/L/LewaTa00.htm,2014,11,3,6,10,10,9
Odell Beckham Jr.,https://www.pro-football-reference.com/players/B/BeckOd00.htm,2014,12,11,13,10,2,9
Aaron Donald,https://www.pro-football-reference.com/players/D/DonaAa00.htm,2014,13,11,18,15,15,16
Kyle Fuller,https://www.pro-football-reference.com/players/F/FullKy00.htm,2014,14,5,6,NaN,6,16
Ryan Shazier,https://www.pro-football-reference.com/players/S/ShazRy00.htm,2014,15,2,7,10,9,NaN
Zack Martin,https://www.pro-football-reference.com/players/M/MartZa00.htm,2014,16,15,9,15,13,11
C.J. Mosley,https://www.pro-football-reference.com/players/M/MoslC.00.htm,2014,17,14,8,13,15,15
Calvin Pryor,https://www.pro-football-reference.com/players/P/PryoCa00.htm,2014,18,4,5,5,0,NaN
Ja'Wuan James,https://www.pro-football-reference.com/players/J/JameJa01.htm,2014,19,9,3,7,3,6
Brandin Cooks,https://www.pro-football-reference.com/players/C/CookBr00.htm,2014,20,5,9,11,13,13
Ha Ha Clinton-Dix,https://www.pro-football-reference.com/players/C/ClinHa00.htm,2014,21,4,6,9,5,4
Johnny Manziel,https://www.pro-football-reference.com/players/M/ManzJo00.htm,2014,22,0,4,NaN,NaN,NaN
Dee Ford,https://www.pro-football-reference.com/players/F/FordDe00.htm,2014,23,1,3,7,3,8
Darqueze Dennard,https://www.pro-football-reference.com/players/D/DennDa00.htm,2014,24,1,1,2,4,3
Jason Verrett,https://www.pro-football-reference.com/players/V/VerrJa00.htm,2014,25,2,9,2,0,NaN
Marcus Smith,https://www.pro-football-reference.com/players/S/SmitMa03.htm,2014,26,0,1,2,1,0
Deone Bucannon,https://www.pro-football-reference.com/players/B/BucaDe00.htm,2014,27,4,9,7,6,6
Kelvin Benjamin,https://www.pro-football-reference.com/players/B/BenjKe00.htm,2014,28,8,NaN,7,4,1.333333333
Dominique Easley,https://www.pro-football-reference.com/players/E/EaslDo00.htm,2014,29,2,2,2,NaN,1
Jimmie Ward,https://www.pro-football-reference.com/players/W/WardJi01.htm,2014,30,1,3,4,2,2
