name,url,year_drafted,pick,year_1_av,year_2_av,year_3_av,year_4_av,year_5_av
Trevor Lawrence,https://www.pro-football-reference.com/players/L/LawrTr00.htm,2021,1,7,14,14,NaN,NaN
Zach Wilson,https://www.pro-football-reference.com/players/W/WilsZa00.htm,2021,2,5,4,5,NaN,NaN
Trey Lance,https://www.pro-football-reference.com/players/L/LancTr00.htm,2021,3,3,1,NaN,NaN,NaN
Kyle Pitts,https://www.pro-football-reference.com/players/P/PittKy00.htm,2021,4,8,4,5,NaN,NaN
Ja'Marr Chase,https://www.pro-football-reference.com/players/C/ChasJa00.htm,2021,5,13,11,11,NaN,NaN
Jaylen Waddle,https://www.pro-football-reference.com/players/W/WaddJa00.htm,2021,6,7,12,10,NaN,NaN
Penei Sewell,https://www.pro-football-reference.com/players/S/SewePe00.htm,2021,7,7,13,17,NaN,NaN
Jaycee Horn,https://www.pro-football-reference.com/players/H/HornJa00.htm,2021,8,1,5,2,NaN,NaN
Patrick Surtain II,https://www.pro-football-reference.com/players/S/SurtPa01.htm,2021,9,7,14,8,NaN,NaN
DeVonta Smith,https://www.pro-football-reference.com/players/S/SmitDe07.htm,2021,10,10,13,11,NaN,NaN
Justin Fields,https://www.pro-football-reference.com/players/F/FielJu00.htm,2021,11,6,16,13,NaN,NaN
Micah Parsons,https://www.pro-football-reference.com/players/P/ParsMi00.htm,2021,12,18,19,15,NaN,NaN
Rashawn Slater,https://www.pro-football-reference.com/players/S/SlatRa00.htm,2021,13,14,2,8,NaN,NaN
Alijah Vera-Tucker,https://www.pro-football-reference.com/players/V/VeraAl00.htm,2021,14,5,2,1,NaN,NaN
Mac Jones,https://www.pro-football-reference.com/players/J/JoneMa05.htm,2021,15,14,8,3,NaN,NaN
Zaven Collins,https://www.pro-football-reference.com/players/C/CollZa00.htm,2021,16,3,6,6,NaN,NaN
Alex Leatherwood,https://www.pro-football-reference.com/players/L/LeatAl00.htm,2021,17,8,0,NaN,NaN,NaN
Jaelan Phillips,https://www.pro-football-reference.com/players/P/PhilJa02.htm,2021,18,5,7,3,NaN,NaN
Jamin Davis,https://www.pro-football-reference.com/players/D/DaviJa11.htm,2021,19,4,8,5,NaN,NaN
Kadarius Toney,https://www.pro-football-reference.com/players/T/ToneKa00.htm,2021,20,3,1.333333333,2,NaN,NaN
Kwity Paye,https://www.pro-football-reference.com/players/P/PayeKw00.htm,2021,21,7,6,8,NaN,NaN
Caleb Farley,https://www.pro-football-reference.com/players/F/FarlCa00.htm,2021,22,0,1,NaN,NaN,NaN
Christian Darrisaw,https://www.pro-football-reference.com/players/D/DarrCh00.htm,2021,23,5,7,7,NaN,NaN
