name,url,year_drafted,pick,year_1_av,year_2_av,year_3_av,year_4_av,year_5_av
Kyler Murray,https://www.pro-football-reference.com/players/M/MurrKy00.htm,2019,1,14,16,16,8,8
Nick Bosa,https://www.pro-football-reference.com/players/B/BosaNi00.htm,2019,2,12,1,12,18,11
Quinnen Williams,https://www.pro-football-reference.com/players/W/WillQu00.htm,2019,3,5,6,6,17,12
Clelin Ferrell,https://www.pro-football-reference.com/players/F/FerrCl00.htm,2019,4,6,4,1,2,8
Devin White,https://www.pro-football-reference.com/players/W/WhitDe02.htm,2019,5,8,14,11,10,6
Daniel Jones,https://www.pro-football-reference.com/players/J/JoneDa05.htm,2019,6,9,9,7,15,0
Josh Hines-Allen,https://www.pro-football-reference.com/players/A/AlleJo03.htm,2019,7,6,3,7,8,11
T.J. Hockenson,https://www.pro-football-reference.com/players/H/HockTJ00.htm,2019,8,3,6,5,5.333333333,7
Ed Oliver,https://www.pro-football-reference.com/players/O/OlivEd00.htm,2019,9,6,8,10,7,9
Devin Bush Jr.,https://www.pro-football-reference.com/players/B/BushDe01.htm,2019,10,9,3,6,6,2
Jonah Williams,https://www.pro-football-reference.com/players/W/WillJo10.htm,2019,11,NaN,4,9,11,9
Rashan Gary,https://www.pro-football-reference.com/players/G/GaryRa00.htm,2019,12,2,3,7,4,6
Christian Wilkins,https://www.pro-football-reference.com/players/W/WilkCh00.htm,2019,13,5,8,9,7,8
Chris Lindstrom,https://www.pro-football-reference.com/players/L/LindCh00.htm,2019,14,3,7,6,11,9
Dwayne Haskins,https://www.pro-football-reference.com/players/H/HaskDw00.htm,2019,15,3,1,NaN,NaN,NaN
Brian Burns,https://www.pro-football-reference.com/players/B/BurnBr00.htm,2019,16,4,6,10,11,8
Dexter Lawrence,https://www.pro-football-reference.com/players/L/LawrDe03.htm,2019,17,7,8,5,13,13
Garrett Bradbury,https://www.pro-football-reference.com/players/B/BradGa00.htm,2019,18,8,7,5,5,6
Jeffery Simmons,https://www.pro-football-reference.com/players/S/SimmJe01.htm,2019,19,4,7,14,14,6
Noah Fant,https://www.pro-football-reference.com/players/F/FantNo00.htm,2019,20,4,5,6,4,4
Darnell Savage Jr.,https://www.pro-football-reference.com/players/S/SavaDa00.htm,2019,21,5,6,5,4,3
