name,url,year_drafted,pick,year_1_av,year_2_av,year_3_av,year_4_av,year_5_av
Baker Mayfield,https://www.pro-football-reference.com/players/M/MayfBa00.htm,2018,1,10,11,14,10,4
Saquon Barkley,https://www.pro-football-reference.com/players/B/BarkSa00.htm,2018,2,14,9,1,5,11
Sam Darnold,https://www.pro-football-reference.com/players/D/DarnSa00.htm,2018,3,7,6,4,6,4
Denzel Ward,https://www.pro-football-reference.com/players/W/WardDe02.htm,2018,4,8,5,4,8,6
Bradley Chubb,https://www.pro-football-reference.com/players/C/ChubBr00.htm,2018,5,8,2,10,4,4.666666667
Quenton Nelson,https://www.pro-football-reference.com/players/N/NelsQu00.htm,2018,6,15,15,14,9,7
Josh Allen,https://www.pro-football-reference.com/players/A/AlleJo02.htm,2018,7,6,11,18,19,20
Roquan Smith,https://www.pro-football-reference.com/players/S/SmitRo07.htm,2018,8,9,7,14,11,11.33333333
Mike McGlinchey,https://www.pro-football-reference.com/players/M/McGlMi00.htm,2018,9,7,7,7,4,9
Josh Rosen,https://www.pro-football-reference.com/players/R/RoseJo01.htm,2018,10,2,1,NaN,0,NaN
Minkah Fitzpatrick,https://www.pro-football-reference.com/players/F/FitzMi00.htm,2018,11,4,10.66666667,14,6,11
Vita Vea,https://www.pro-football-reference.com/players/V/VeaxVi00.htm,2018,12,4,7,3,11,8
Daron Payne,https://www.pro-football-reference.com/players/P/PaynDa00.htm,2018,13,8,4,10,7,13
Marcus Davenport,https://www.pro-football-reference.com/players/D/DaveMa00.htm,2018,14,1,6,1,6,5
Kolton Miller,https://www.pro-football-reference.com/players/M/MillKo00.htm,2018,15,6,7,8,8,8
Tremaine Edmunds,https://www.pro-football-reference.com/players/E/EdmuTr01.htm,2018,16,9,14,10,9,7
Derwin James,https://www.pro-football-reference.com/players/J/JameDe00.htm,2018,17,10,2,NaN,5,8
Jaire Alexander,https://www.pro-football-reference.com/players/A/AlexJa00.htm,2018,18,5,6,11,1,9
Leighton Vander Esch,https://www.pro-football-reference.com/players/V/VandLe00.htm,2018,19,11,5,5,8,7
Frank Ragnow,https://www.pro-football-reference.com/players/R/RagnFr00.htm,2018,20,7,6,9,2,10
Billy Price,https://www.pro-football-reference.com/players/P/PricBi01.htm,2018,21,5,4,1,5,5
Rashaan Evans,https://www.pro-football-reference.com/players/E/EvanRa01.htm,2018,22,5,9,7,6,7
Isaiah Wynn,https://www.pro-football-reference.com/players/W/WynnIs00.htm,2018,23,NaN,4,4,9,3
D.J. Moore,https://www.pro-football-reference.com/players/M/MoorD.00.htm,2018,24,8,8,10,9,8
Hayden Hurst,https://www.pro-football-reference.com/players/H/HursHa00.htm,2018,25,1,5,5,2,4
Calvin Ridley,https://www.pro-football-reference.com/players/R/RidlCa00.htm,2018,26,7,7,11,2,NaN
Rashaad Penny,https://www.pro-football-reference.com/players/P/PennRa00.htm,2018,27,4,3,0,5,2
Terrell Edmunds,https://www.pro-football-reference.com/players/E/EdmuTe00.htm,2018,28,6,6,5,6,5
Taven Bryan,https://www.pro-football-reference.com/players/B/BryaTa00.htm,2018,29,2,4,4,1,6
Mike Hughes,https://www.pro-football-reference.com/players/H/HughMi00.htm,2018,30,2,2,1,3,2
Sony Michel,https://www.pro-football-reference.com/players/M/MichSo00.htm,2018,31,7,5,4,6,1
Lamar Jackson,https://www.pro-football-reference.com/players/J/JackLa00.htm,2018,32,8,25,18,11,12
Austin Corbett,https://www.pro-football-reference.com/players/C/CorbAu00.htm,2018,33,1,2.666666667,6,9,6
Will Hernandez,https://www.pro-football-reference.com/players/H/HernWi00.htm,2018,34,8,8,3,5,6
Nick Chubb,https://www.pro-football-reference.com/players/C/ChubNi00.htm,2018,35,6,12,9,10,12
Shaquille Leonard,https://www.pro-football-reference.com/players/L/LeonDa00.htm,2018,36,18,12,14,15,1
Braden Smith,https://www.pro-football-reference.com/players/S/SmitBr06.htm,2018,37,7,8,8,6,6
Ronald Jones II,https://www.pro-football-reference.com/players/J/JoneRo01.htm,2018,38,0,7,8,3,1
James Daniels,https://www.pro-football-reference.com/players/D/DaniJa01.htm,2018,39,5,6,2,6,7
Courtland Sutton,https://www.pro-football-reference.com/players/S/SuttCo00.htm,2018,40,5,9,0,7,5
Harold Landry,https://www.pro-football-reference.com/players/L/LandHa00.htm,2018,41,3,9,7,11,NaN
Mike Gesicki,https://www.pro-football-reference.com/players/G/GesiMi00.htm,2018,42,2,4,6,6,3
Kerryon Johnson,https://www.pro-football-reference.com/players/J/JohnKe06.htm,2018,43,5,3,3,0,NaN
Dante Pettis,https://www.pro-football-reference.com/players/P/PettDa00.htm,2018,44,4,1,0.666666667,1,3
Josh Jackson,https://www.pro-football-reference.com/players/J/JackJo01.htm,2018,45,4,1,2,0,0.666666667
Breeland Speaks,https://www.pro-football-reference.com/players/S/SpeaBr00.htm,2018,46,3,NaN,NaN,NaN,NaN
Christian Kirk,https://www.pro-football-reference.com/players/K/KirkCh01.htm,2018,47,4,7,5,10,10
Uchenna Nwosu,https://www.pro-football-reference.com/players/N/NwosUc00.htm,2018,48,3,3,3,6,8
Dallas Goedert,https://www.pro-football-reference.com/players/G/GoedDa00.htm,2018,49,2,5,4,9,7
Connor Williams,https://www.pro-football-reference.com/players/W/WillCo00.htm,2018,50,4,6,7,6,8
Anthony Miller,https://www.pro-football-reference.com/players/M/MillAn02.htm,2018,51,4,5,4,0,NaN
Kemoko Turay,https://www.pro-football-reference.com/players/T/TuraKe00.htm,2018,52,3,0,1,1,0
M.J. Stewart,https://www.pro-football-reference.com/players/S/StewM.00.htm,2018,53,2,1,1,1,1
Jessie Bates III,https://www.pro-football-reference.com/players/B/BateJe00.htm,2018,54,5,6,10,6,8
Donte Jackson,https://www.pro-football-reference.com/players/J/JackDo02.htm,2018,55,6,4,5,4,4
Duke Dawson,https://www.pro-football-reference.com/players/D/DawsDu00.htm,2018,56,NaN,2,1,NaN,NaN
P.J. Hall,https://www.pro-football-reference.com/players/H/HallP.00.htm,2018,57,3,5,3,NaN,NaN
Isaiah Oliver,https://www.pro-football-reference.com/players/O/OlivIs00.htm,2018,58,1,5,4,1,2
Derrius Guice,https://www.pro-football-reference.com/players/G/GuicDe00.htm,2018,59,NaN,2,NaN,NaN,NaN
James Washington,https://www.pro-football-reference.com/players/W/WashJa00.htm,2018,60,2,5,3,2,0
DJ Chark,https://www.pro-football-reference.com/players/C/CharDJ00.htm,2018,61,1,7,5,1,5
Brian O'Neill,https://www.pro-football-reference.com/players/O/ONeiBr00.htm,2018,62,5,8,9,10,8
Carlton Davis,https://www.pro-football-reference.com/players/D/DaviCa02.htm,2018,63,4,5,6,4,5
Tyquan Lewis,https://www.pro-football-reference.com/players/L/LewiTy00.htm,2018,64,3,1,3,2,2
Brandon Parker,https://www.pro-football-reference.com/players/P/ParkBr01.htm,2018,65,4,2,3,6,NaN
Lorenzo Carter,https://www.pro-football-reference.com/players/C/CartLo01.htm,2018,66,2,5,3,8,8
Chad Thomas,https://www.pro-football-reference.com/players/T/ThomCh06.htm,2018,67,0,5,NaN,NaN,NaN
Justin Reid,https://www.pro-football-reference.com/players/R/ReidJu00.htm,2018,68,5,5,4,4,5
B.J. Hill,https://www.pro-football-reference.com/players/H/HillB.00.htm,2018,69,5,3,1,3,9
Fred Warner,https://www.pro-football-reference.com/players/W/WarnFr00.htm,2018,70,7,9,19,8,17
Royce Freeman,https://www.pro-football-reference.com/players/F/FreeRo00.htm,2018,71,3,5,1,1.333333333,1
Nathan Shepherd,https://www.pro-football-reference.com/players/S/ShepNa00.htm,2018,72,3,1,2,1,2
Jerome Baker,https://www.pro-football-reference.com/players/B/BakeJe00.htm,2018,73,5,5,7,9,7
Geron Christian,https://www.pro-football-reference.com/players/C/ChriGe01.htm,2018,74,0,2,3,3,1
Derrick Nnadi,https://www.pro-football-reference.com/players/N/NnadDe00.htm,2018,75,4,7,7,5,6
Mason Rudolph,https://www.pro-football-reference.com/players/R/RudoMa00.htm,2018,76,NaN,3,1,1,NaN
Sam Hubbard,https://www.pro-football-reference.com/players/H/HubbSa00.htm,2018,77,2,7,6,9,8
Malik Jefferson,https://www.pro-football-reference.com/players/J/JeffMa00.htm,2018,78,1,1,1,0,NaN
Rasheem Green,https://www.pro-football-reference.com/players/G/GreeRa01.htm,2018,79,1,4,1,8,3
Martinas Rankin,https://www.pro-football-reference.com/players/R/RankMa00.htm,2018,80,3,3,1,NaN,NaN
Michael Gallup,https://www.pro-football-reference.com/players/G/GallMi00.htm,2018,81,4,9,7,4,4
Tracy Walker,https://www.pro-football-reference.com/players/W/WalkTr01.htm,2018,82,1,4,2,4,1
Orlando Brown Jr.,https://www.pro-football-reference.com/players/B/BrowOr00.htm,2018,83,6,13,12,13,13
Justin Jones,https://www.pro-football-reference.com/players/J/JoneJu03.htm,2018,84,1,5,6,5,7
Rashaan Gaulden,https://www.pro-football-reference.com/players/G/GaulRa00.htm,2018,85,1,0,0,NaN,NaN
Mark Andrews,https://www.pro-football-reference.com/players/A/AndrMa00.htm,2018,86,5,11,8,10,8
Arden Key,https://www.pro-football-reference.com/players/K/KeyxAr00.htm,2018,87,4,1,1,2,3
Oren Burks,https://www.pro-football-reference.com/players/B/BurkOr00.htm,2018,88,3,1,1,2,2
Joseph Noteboom,https://www.pro-football-reference.com/players/N/NoteJo00.htm,2018,89,2,3,4,2,2
Deadrin Senat,https://www.pro-football-reference.com/players/S/SenaDe00.htm,2018,90,2,0,1,NaN,1
Tre'Quan Smith,https://www.pro-football-reference.com/players/S/SmitTr03.htm,2018,91,5,2,4,3,2
Chukwuma Okorafor,https://www.pro-football-reference.com/players/O/OkorCh00.htm,2018,92,2,0,8,7,7
Ronnie Harrison,https://www.pro-football-reference.com/players/H/HarrRo02.htm,2018,93,4,6,3,4,2
Alex Cappa,https://www.pro-football-reference.com/players/C/CappAl00.htm,2018,94,1,7,9,7,9
Tarvarius Moore,https://www.pro-football-reference.com/players/M/MoorTa00.htm,2018,95,1,2,4,NaN,1
Harrison Phillips,https://www.pro-football-reference.com/players/P/PhilHa00.htm,2018,96,2,0,2,6,7
Mason Cole,https://www.pro-football-reference.com/players/C/ColeMa02.htm,2018,97,4,2,6,3,7
Jordan Akins,https://www.pro-football-reference.com/players/A/AkinJo00.htm,2018,98,2,4,3,2,4
Isaac Yiadom,https://www.pro-football-reference.com/players/Y/YiadIs00.htm,2018,99,1,4,4,1,0
Dorian O'Daniel,https://www.pro-football-reference.com/players/O/ODanDo00.htm,2018,100,2,1,1,1,NaN
Ian Thomas,https://www.pro-football-reference.com/players/T/ThomIa00.htm,2018,101,3,1,1,1,2
Jalyn Holmes,https://www.pro-football-reference.com/players/H/HolmJa01.htm,2018,102,1,0,4,1,0
Keke Coutee,https://www.pro-football-reference.com/players/C/CoutKe00.htm,2018,103,2,2,3,0,0
Nyheim Hines,https://www.pro-football-reference.com/players/H/HineNy00.htm,2018,104,6,6,7,5,2.666666667
Antonio Callaway,https://www.pro-football-reference.com/players/C/CallAn00.htm,2018,105,4,1,0,NaN,NaN
Josey Jewell,https://www.pro-football-reference.com/players/J/JeweJo00.htm,2018,106,5,3,8,1,8
Chris Herndon,https://www.pro-football-reference.com/players/H/HernCh00.htm,2018,107,4,0,2,0,NaN
Kyle Lauletta,https://www.pro-football-reference.com/players/L/LaulKy00.htm,2018,108,0,NaN,NaN,NaN,NaN
Troy Apke,https://www.pro-football-reference.com/players/A/ApkeTr00.htm,2018,109,0,1,4,1,0
Nick Nelson,https://www.pro-football-reference.com/players/N/NelsNi00.htm,2018,110,1,0,NaN,NaN,NaN
Brian Allen,https://www.pro-football-reference.com/players/A/AlleBr02.htm,2018,111,1,5,NaN,8,3
Mark Walton,https://www.pro-football-reference.com/players/W/WaltMa00.htm,2018,112,1,2,NaN,NaN,NaN
DaeSean Hamilton,https://www.pro-football-reference.com/players/H/HamiDa01.htm,2018,113,2,2,2,NaN,NaN
Da'Shawn Hand,https://www.pro-football-reference.com/players/H/HandDa00.htm,2018,114,5,1,1,0,0
Joel Iyiegbuniwe,https://www.pro-football-reference.com/players/I/IyieJo00.htm,2018,115,1,1,1,1,1
Dorance Armstrong Jr.,https://www.pro-football-reference.com/players/A/ArmsDo00.htm,2018,116,2,2,2,4,5
Jordan Whitehead,https://www.pro-football-reference.com/players/W/WhitJo03.htm,2018,117,4,5,7,5,6
Anthony Averett,https://www.pro-football-reference.com/players/A/AverAn00.htm,2018,118,1,1,2,6,2
Kyzir White,https://www.pro-football-reference.com/players/W/WhitKy00.htm,2018,119,3,4,5,7,4
Will Dissly,https://www.pro-football-reference.com/players/D/DissWi00.htm,2018,120,1,2,2,2,3
Taron Johnson,https://www.pro-football-reference.com/players/J/JohnTa01.htm,2018,121,2,3,4,6,6
Kenny Young,https://www.pro-football-reference.com/players/Y/YounKe03.htm,2018,122,4,2,6,4,0
Durham Smythe,https://www.pro-football-reference.com/players/S/SmytDu00.htm,2018,123,0,0,2,3,1
Armani Watts,https://www.pro-football-reference.com/players/W/WattAr00.htm,2018,124,0,1,1,1,NaN
Avonte Maddox,https://www.pro-football-reference.com/players/M/MaddAv00.htm,2018,125,4,3,3,2,3
Ito Smith,https://www.pro-football-reference.com/players/S/SmitIt00.htm,2018,126,3,1,2,0,NaN
Rick Leonard,https://www.pro-football-reference.com/players/L/LeonRi00.htm,2018,127,NaN,NaN,NaN,0,NaN
Kentavius Street,https://www.pro-football-reference.com/players/S/StreKe00.htm,2018,128,NaN,0,2,2,2
Will Richardson,https://www.pro-football-reference.com/players/R/RichWi01.htm,2018,129,NaN,NaN,NaN,1,NaN
Josh Sweat,https://www.pro-football-reference.com/players/S/SweaJo00.htm,2018,130,1,2,3,8,8
Kalen Ballage,https://www.pro-football-reference.com/players/B/BallKa00.htm,2018,131,2,1,2,0,NaN
Jaleel Scott,https://www.pro-football-reference.com/players/S/ScotJa02.htm,2018,132,NaN,0,0,NaN,NaN
J'Mon Moore,https://www.pro-football-reference.com/players/M/MoorJM00.htm,2018,133,0,NaN,NaN,NaN,NaN
Chase Edmonds,https://www.pro-football-reference.com/players/E/EdmoCh00.htm,2018,134,2,3,6,7,2
John Franklin-Myers,https://www.pro-football-reference.com/players/F/FranJo02.htm,2018,135,2,NaN,3,6,8
Marquis Haynes,https://www.pro-football-reference.com/players/H/HaynMa01.htm,2018,136,0,1,2,1,3
Dalton Schultz,https://www.pro-football-reference.com/players/S/SchuDa00.htm,2018,137,1,0,5,7,6
Cole Madison,https://www.pro-football-reference.com/players/M/MadiCo01.htm,2018,138,NaN,NaN,NaN,NaN,NaN
R.J. McIntosh,https://www.pro-football-reference.com/players/M/McInR.00.htm,2018,139,0,1,NaN,NaN,NaN
