name,url,year_drafted,pick,year_1_av,year_2_av,year_3_av,year_4_av,year_5_av
Bryce Young,https://www.pro-football-reference.com/players/Y/YounBr01.htm,2023,1,6.0,8.0,NaN,NaN,NaN
C.J. Stroud,https://www.pro-football-reference.com/players/S/StroCJ00.htm,2023,2,14.0,11.0,NaN,NaN,NaN
Will Anderson,https://www.pro-football-reference.com/players/A/AndeWi01.htm,2023,3,10.0,8.0,NaN,NaN,NaN
Anthony Richardson,https://www.pro-football-reference.com/players/R/RichAn03.htm,2023,4,3.0,6.0,NaN,NaN,NaN
Devon Witherspoon,https://www.pro-football-reference.com/players/W/WithDe00.htm,2023,5,6.0,10.0,NaN,NaN,NaN
Paris Johnson,https://www.pro-football-reference.com/players/J/JohnPa03.htm,2023,6,8.0,7.0,NaN,NaN,NaN
Tyree Wilson,https://www.pro-football-reference.com/players/W/WilsTy01.htm,2023,7,2.0,3.0,NaN,NaN,NaN
Bijan Robinson,https://www.pro-football-reference.com/players/R/RobiBi01.htm,2023,8,9.0,12.0,NaN,NaN,NaN
Jalen Carter,https://www.pro-football-reference.com/players/C/CartJa05.htm,2023,9,2.0,14.0,NaN,NaN,NaN
Darnell Wright,https://www.pro-football-reference.com/players/W/WrigDa00.htm,2023,10,8.0,6.0,NaN,NaN,NaN
Peter Skoronski,https://www.pro-football-reference.com/players/S/SkorPe00.htm,2023,11,5.0,6.0,NaN,NaN,NaN
Jahmyr Gibbs,https://www.pro-football-reference.com/players/G/GibbJa01.htm,2023,12,10.0,17.0,NaN,NaN,NaN
Lukas Van Ness,https://www.pro-football-reference.com/players/V/VanNLu00.htm,2023,13,1.0,2.0,NaN,NaN,NaN
Broderick Jones,https://www.pro-football-reference.com/players/J/JoneBr09.htm,2023,14,5.0,8.0,NaN,NaN,NaN
Will McDonald,https://www.pro-football-reference.com/players/M/McDoWi00.htm,2023,15,2.0,7.0,NaN,NaN,NaN
Emmanuel Forbes,https://www.pro-football-reference.com/players/F/ForbEm00.htm,2023,16,2.0,0.6666666666666666,NaN,NaN,NaN
Christian Gonzalez,https://www.pro-football-reference.com/players/G/GonzCh00.htm,2023,17,2.0,10.0,NaN,NaN,NaN
Jack Campbell,https://www.pro-football-reference.com/players/C/CampJa04.htm,2023,18,5.0,8.0,NaN,NaN,NaN
Calijah Kancey,https://www.pro-football-reference.com/players/K/KancCa00.htm,2023,19,6.0,6.0,NaN,NaN,NaN
Jaxon Smith-Njigba,https://www.pro-football-reference.com/players/S/SmitJa06.htm,2023,20,6.0,9.0,NaN,NaN,NaN
Quentin Johnston,https://www.pro-football-reference.com/players/J/JohnQu02.htm,2023,21,4.0,7.0,NaN,NaN,NaN
Zay Flowers,https://www.pro-football-reference.com/players/F/FlowZa00.htm,2023,22,9.0,11.0,NaN,NaN,NaN
Jordan Addison,https://www.pro-football-reference.com/players/A/AddiJo00.htm,2023,23,7.0,8.0,NaN,NaN,NaN
Deonte Banks,https://www.pro-football-reference.com/players/B/BankDe00.htm,2023,24,5.0,5.0,NaN,NaN,NaN
Dalton Kincaid,https://www.pro-football-reference.com/players/K/KincDa00.htm,2023,25,7.0,5.0,NaN,NaN,NaN
Mazi Smith,https://www.pro-football-reference.com/players/S/SmitMa06.htm,2023,26,2.0,7.0,NaN,NaN,NaN
Anton Harrison,https://www.pro-football-reference.com/players/H/HarrAn00.htm,2023,27,9.0,7.0,NaN,NaN,NaN
Myles Murphy,https://www.pro-football-reference.com/players/M/MurpMy00.htm,2023,28,1.0,1.0,NaN,NaN,NaN
Bryan Bresee,https://www.pro-football-reference.com/players/B/BresBr00.htm,2023,29,2.0,6.0,NaN,NaN,NaN
Nolan Smith,https://www.pro-football-reference.com/players/S/SmitNo02.htm,2023,30,1.0,6.0,NaN,NaN,NaN
Felix Anudike-Uzomah,https://www.pro-football-reference.com/players/A/AnudFe00.htm,2023,31,1.0,3.0,NaN,NaN,NaN
Joey Porter Jr.,https://www.pro-football-reference.com/players/P/PortJo02.htm,2023,32,4.0,6.0,NaN,NaN,NaN
Will Levis,https://www.pro-football-reference.com/players/L/LeviWi00.htm,2023,33,6.0,5.0,NaN,NaN,NaN
Sam LaPorta,https://www.pro-football-reference.com/players/L/LaPoSa01.htm,2023,34,9.0,8.0,NaN,NaN,NaN
Michael Mayer,https://www.pro-football-reference.com/players/M/MayeMi00.htm,2023,35,3.0,1.0,NaN,NaN,NaN
Steve Avila,https://www.pro-football-reference.com/players/A/AvilSt00.htm,2023,36,7.0,5.0,NaN,NaN,NaN
Derick Hall,https://www.pro-football-reference.com/players/H/HallDe04.htm,2023,37,1.0,9.0,NaN,NaN,NaN
Matthew Bergeron,https://www.pro-football-reference.com/players/B/BergMa00.htm,2023,38,6.0,7.0,NaN,NaN,NaN
Jonathan Mingo,https://www.pro-football-reference.com/players/M/MingJo00.htm,2023,39,3.0,0.6666666666666666,NaN,NaN,NaN
Isaiah Foskey,https://www.pro-football-reference.com/players/F/FoskIs00.htm,2023,40,1.0,1.0,NaN,NaN,NaN
BJ Ojulari,https://www.pro-football-reference.com/players/O/OjulBJ00.htm,2023,41,1.0,NaN,NaN,NaN,NaN
Luke Musgrave,https://www.pro-football-reference.com/players/M/MusgLu00.htm,2023,42,3.0,0.0,NaN,NaN,NaN
Joe Tippmann,https://www.pro-football-reference.com/players/T/TippJo00.htm,2023,43,4.0,7.0,NaN,NaN,NaN
Julius Brents,https://www.pro-football-reference.com/players/B/BrenJu00.htm,2023,44,3.0,0.0,NaN,NaN,NaN
Brian Branch,https://www.pro-football-reference.com/players/B/BranBr00.htm,2023,45,4.0,8.0,NaN,NaN,NaN
Keion White,https://www.pro-football-reference.com/players/W/WhitKe03.htm,2023,46,3.0,6.0,NaN,NaN,NaN
Quan Martin,https://www.pro-football-reference.com/players/M/MartJa04.htm,2023,47,2.0,5.0,NaN,NaN,NaN
Cody Mauch,https://www.pro-football-reference.com/players/M/MaucCo00.htm,2023,48,7.0,8.0,NaN,NaN,NaN
Keeanu Benton,https://www.pro-football-reference.com/players/B/BentKe00.htm,2023,49,4.0,7.0,NaN,NaN,NaN
Jayden Reed,https://www.pro-football-reference.com/players/R/ReedJa03.htm,2023,50,9.0,9.0,NaN,NaN,NaN
Cam Smith,https://www.pro-football-reference.com/players/S/SmitCa02.htm,2023,51,1.0,0.0,NaN,NaN,NaN
Zach Charbonnet,https://www.pro-football-reference.com/players/C/CharZa00.htm,2023,52,5.0,6.0,NaN,NaN,NaN
Gervon Dexter,https://www.pro-football-reference.com/players/D/DextGe00.htm,2023,53,2.0,8.0,NaN,NaN,NaN
Tuli Tuipulotu,https://www.pro-football-reference.com/players/T/TuipTu00.htm,2023,54,5.0,6.0,NaN,NaN,NaN
Rashee Rice,https://www.pro-football-reference.com/players/R/RiceRa01.htm,2023,55,8.0,3.0,NaN,NaN,NaN
Tyrique Stevenson,https://www.pro-football-reference.com/players/S/StevTy01.htm,2023,56,6.0,6.0,NaN,NaN,NaN
John Michael Schmitz,https://www.pro-football-reference.com/players/M/MichJo00.htm,2023,57,4.0,5.0,NaN,NaN,NaN
Luke Schoonmaker,https://www.pro-football-reference.com/players/S/SchoLu00.htm,2023,58,1.0,2.0,NaN,NaN,NaN
O'Cyrus Torrence,https://www.pro-football-reference.com/players/T/TorrOC00.htm,2023,59,8.0,8.0,NaN,NaN,NaN
DJ Turner,https://www.pro-football-reference.com/players/T/TurnDJ01.htm,2023,60,4.0,2.0,NaN,NaN,NaN
Brenton Strange,https://www.pro-football-reference.com/players/S/StraBr00.htm,2023,61,0.0,3.0,NaN,NaN,NaN
