name,url,year_drafted,pick,year_1_av,year_2_av,year_3_av,year_4_av,year_5_av
Cam Newton,https://www.pro-football-reference.com/players/N/NewtCa00.htm,2011,1,19,16,16,12,21
Von Miller,https://www.pro-football-reference.com/players/M/MillVo00.htm,2011,2,12,18,5,12,17
Marcell Dareus,https://www.pro-football-reference.com/players/D/DareMa00.htm,2011,3,6,6,10,18,8
A.J. Green,https://www.pro-football-reference.com/players/G/GreeA.00.htm,2011,4,10,13,13,9,13
Patrick Peterson,https://www.pro-football-reference.com/players/P/PetePa00.htm,2011,5,22,13,16,9,15
Julio Jones,https://www.pro-football-reference.com/players/J/JoneJu02.htm,2011,6,10,13,5,14,16
Aldon Smith,https://www.pro-football-reference.com/players/S/SmitAl04.htm,2011,7,3,15,5,3,3
Jake Locker,https://www.pro-football-reference.com/players/L/LockJa00.htm,2011,8,2,6,5,3,NaN
Tyron Smith,https://www.pro-football-reference.com/players/S/SmitTy00.htm,2011,9,9,8,14,15,9
Blaine Gabbert,https://www.pro-football-reference.com/players/G/GabbBl00.htm,2011,10,4,3,1,0,5
J.J. Watt,https://www.pro-football-reference.com/players/W/WattJ.00.htm,2011,11,10,19,17,23,21
Christian Ponder,https://www.pro-football-reference.com/players/P/PondCh00.htm,2011,12,5,11,6,1,NaN
Nick Fairley,https://www.pro-football-reference.com/players/F/FairNi00.htm,2011,13,1,4,8,4,2
Robert Quinn,https://www.pro-football-reference.com/players/Q/QuinRo00.htm,2011,14,2,7,16,12,4
Mike Pouncey,https://www.pro-football-reference.com/players/P/PounMi00.htm,2011,15,8,7,8,9,8
Ryan Kerrigan,https://www.pro-football-reference.com/players/K/KerrRy00.htm,2011,16,7,9,7,8,8
Nate Solder,https://www.pro-football-reference.com/players/S/SoldNa00.htm,2011,17,8,11,8,9,3
Corey Liuget,https://www.pro-football-reference.com/players/L/LiugCo00.htm,2011,18,5,8,7,8,5
Prince Amukamara,https://www.pro-football-reference.com/players/A/AmukPr00.htm,2011,19,1,4,7,3,4
Adrian Clayborn,https://www.pro-football-reference.com/players/C/ClayAd00.htm,2011,20,5,1,7,0,3
Phil Taylor,https://www.pro-football-reference.com/players/T/TaylPh00.htm,2011,21,8,4,6,2,NaN
Anthony Castonzo,https://www.pro-football-reference.com/players/C/CastAn00.htm,2011,22,4,7,9,9,6
Danny Watkins,https://www.pro-football-reference.com/players/W/WatkDa00.htm,2011,23,6,3,0,NaN,NaN
Cameron Jordan,https://www.pro-football-reference.com/players/J/JordCa00.htm,2011,24,7,7,13,7,8
James Carpenter,https://www.pro-football-reference.com/players/C/CarpJa00.htm,2011,25,3,4,6,8,8
Jonathan Baldwin,https://www.pro-football-reference.com/players/B/BaldJo00.htm,2011,26,2,2,0,NaN,NaN
Jimmy Smith,https://www.pro-football-reference.com/players/S/SmitJi03.htm,2011,27,2,1,7,3,6
Mark Ingram,https://www.pro-football-reference.com/players/I/IngrMa01.htm,2011,28,4,4,3,8,8
Gabe Carimi,https://www.pro-football-reference.com/players/C/CariGa00.htm,2011,29,1,6,2,4,NaN
Muhammad Wilkerson,https://www.pro-football-reference.com/players/W/WilkMu00.htm,2011,30,8,9,13,6,16
Cameron Heyward,https://www.pro-football-reference.com/players/H/HeywCa01.htm,2011,31,2,2,7,7,9
Derek Sherrod,https://www.pro-football-reference.com/players/S/SherDe00.htm,2011,32,1,NaN,1,1,NaN
Ras-I Dowling,https://www.pro-football-reference.com/players/D/DowlRa00.htm,2011,33,1,0,NaN,0,NaN
Aaron Williams,https://www.pro-football-reference.com/players/W/WillAa00.htm,2011,34,2,3,5,5,1
Andy Dalton,https://www.pro-football-reference.com/players/D/DaltAn00.htm,2011,35,11,12,14,11,13
Colin Kaepernick,https://www.pro-football-reference.com/players/K/KaepCo00.htm,2011,36,0,9,15,12,4
Jabaal Sheard,https://www.pro-football-reference.com/players/S/SheaJa00.htm,2011,37,9,8,5,3,3
Ryan Williams,https://www.pro-football-reference.com/players/W/WillRy00.htm,2011,38,NaN,1,NaN,NaN,NaN
Akeem Ayers,https://www.pro-football-reference.com/players/A/AyerAk00.htm,2011,39,8,5,6,2,7
Bruce Carter,https://www.pro-football-reference.com/players/C/CartBr00.htm,2011,40,1,5,5,6,2
Jarvis Jenkins,https://www.pro-football-reference.com/players/J/JenkJa01.htm,2011,41,NaN,5,3,6,7
Brooks Reed,https://www.pro-football-reference.com/players/R/ReedBr00.htm,2011,42,7,5,7,7,2
Kyle Rudolph,https://www.pro-football-reference.com/players/R/RudoKy00.htm,2011,43,2,6,3,2,5
