name,url,year_drafted,pick,year_1_av,year_2_av,year_3_av,year_4_av,year_5_av
Myles Garrett,https://www.pro-football-reference.com/players/G/GarrMy00.htm,2017,1,4,14,5,15,17
Mitchell Trubisky,https://www.pro-football-reference.com/players/T/TrubMi00.htm,2017,2,8,13,8,7,0
Solomon Thomas,https://www.pro-football-reference.com/players/T/ThomSo00.htm,2017,3,6,6,3,1,1
Leonard Fournette,https://www.pro-football-reference.com/players/F/FourLe00.htm,2017,4,8,3,10,5,9
Corey Davis,https://www.pro-football-reference.com/players/D/DaviCo03.htm,2017,5,3,7,5,11,4
Jamal Adams,https://www.pro-football-reference.com/players/A/AdamJa00.htm,2017,6,7,10,14,9,5
Mike Williams,https://www.pro-football-reference.com/players/W/WillMi07.htm,2017,7,1,6,8,6,11
Christian McCaffrey,https://www.pro-football-reference.com/players/M/McCaCh01.htm,2017,8,9,16,15,3,5
John Ross,https://www.pro-football-reference.com/players/R/RossJo00.htm,2017,9,0,2,3,0,2
Patrick Mahomes,https://www.pro-football-reference.com/players/M/MahoPa00.htm,2017,10,1,22,17,17,18
Marshon Lattimore,https://www.pro-football-reference.com/players/L/LattMa01.htm,2017,11,8,6,7,8,9
Deshaun Watson,https://www.pro-football-reference.com/players/W/WatsDe00.htm,2017,12,7,16,16,16,NaN
Haason Reddick,https://www.pro-football-reference.com/players/R/ReddHa00.htm,2017,13,3,6,3,6,7
Derek Barnett,https://www.pro-football-reference.com/players/B/BarnDe01.htm,2017,14,3,3,7,5,6
Malik Hooker,https://www.pro-football-reference.com/players/H/HookMa00.htm,2017,15,3,5,5,1,2
Marlon Humphrey,https://www.pro-football-reference.com/players/H/HumpMa00.htm,2017,16,3,4,16,10,5
Jonathan Allen,https://www.pro-football-reference.com/players/A/AlleJo01.htm,2017,17,2,8,7,9,10
Adoree' Jackson,https://www.pro-football-reference.com/players/J/JackAd00.htm,2017,18,6,6,3,1,4
O.J. Howard,https://www.pro-football-reference.com/players/H/HowaO.00.htm,2017,19,3,4,4,1,1
Garett Bolles,https://www.pro-football-reference.com/players/B/BollGa00.htm,2017,20,6,7,6,10,7
Jarrad Davis,https://www.pro-football-reference.com/players/D/DaviJa01.htm,2017,21,6,8,5,2,2
Charles Harris,https://www.pro-football-reference.com/players/H/HarrCh03.htm,2017,22,2,1,2,2,6
Evan Engram,https://www.pro-football-reference.com/players/E/EngrEv00.htm,2017,23,5,5,4,5,3
Gareon Conley,https://www.pro-football-reference.com/players/C/ConlGa00.htm,2017,24,0,5,2.666666667,NaN,NaN
Jabrill Peppers,https://www.pro-football-reference.com/players/P/PeppJa00.htm,2017,25,5,7,4,6,2
Takkarist McKinley,https://www.pro-football-reference.com/players/M/McKiTa00.htm,2017,26,2,4,6,2,2
Tre'Davious White,https://www.pro-football-reference.com/players/W/WhitTr01.htm,2017,27,7,7,19,11,4
Taco Charlton,https://www.pro-football-reference.com/players/C/CharTa00.htm,2017,28,2,4,2,1,1
David Njoku,https://www.pro-football-reference.com/players/N/NjokDa00.htm,2017,29,2,5,0,2,4
T.J. Watt,https://www.pro-football-reference.com/players/W/WattT.00.htm,2017,30,7,11,14,18,15
Reuben Foster,https://www.pro-football-reference.com/players/F/FostRe00.htm,2017,31,5,3,NaN,NaN,NaN
Ryan Ramczyk,https://www.pro-football-reference.com/players/R/RamcRy00.htm,2017,32,9,15,16,15,4
Kevin King,https://www.pro-football-reference.com/players/K/KingKe01.htm,2017,33,2,2,6,4,2
Cam Robinson,https://www.pro-football-reference.com/players/R/RobiCa00.htm,2017,34,8,1,6,7,5
Malik McDowell,https://www.pro-football-reference.com/players/M/McDoMa00.htm,2017,35,NaN,NaN,NaN,NaN,6
Budda Baker,https://www.pro-football-reference.com/players/B/BakeBu00.htm,2017,36,9,5,6,14,11
Zay Jones,https://www.pro-football-reference.com/players/J/JoneZa00.htm,2017,37,3,5,1.333333333,2,4
Forrest Lamp,https://www.pro-football-reference.com/players/L/LampFo00.htm,2017,38,NaN,0,1,7,0
Marcus Maye,https://www.pro-football-reference.com/players/M/MayeMa00.htm,2017,39,7,2,6,6,2
Curtis Samuel,https://www.pro-football-reference.com/players/S/SamuCu00.htm,2017,40,1,5,5,8,0
Dalvin Cook,https://www.pro-football-reference.com/players/C/CookDa01.htm,2017,41,3,6,15,13,9
Marcus Williams,https://www.pro-football-reference.com/players/W/WillMa06.htm,2017,42,5,5,5,5,6
Sidney Jones,https://www.pro-football-reference.com/players/J/JoneSi00.htm,2017,43,0,2,3,2,4
Gerald Everett,https://www.pro-football-reference.com/players/E/EverGe00.htm,2017,44,3,3,3,3,5
Adam Shaheen,https://www.pro-football-reference.com/players/S/ShahAd00.htm,2017,45,1,0,1,1,1
Quincy Wilson,https://www.pro-football-reference.com/players/W/WilsQu01.htm,2017,46,2,2,0,0,NaN
Tyus Bowser,https://www.pro-football-reference.com/players/B/BowsTy00.htm,2017,47,2,1,3,3,9
Joe Mixon,https://www.pro-football-reference.com/players/M/MixoJo00.htm,2017,48,7,11,7,3,10
Ryan Anderson,https://www.pro-football-reference.com/players/A/AndeRy00.htm,2017,49,1,1,3,1,NaN
Justin Evans,https://www.pro-football-reference.com/players/E/EvanJu00.htm,2017,50,4,4,NaN,NaN,NaN
DeMarcus Walker,https://www.pro-football-reference.com/players/W/WalkDe03.htm,2017,51,1,1,2,3,2
DeShone Kizer,https://www.pro-football-reference.com/players/K/KizeDe00.htm,2017,52,5,1,NaN,NaN,NaN
Teez Tabor,https://www.pro-football-reference.com/players/T/TaboTe00.htm,2017,53,1,2,NaN,NaN,1
Raekwon McMillan,https://www.pro-football-reference.com/players/M/McMiRa02.htm,2017,54,NaN,6,3,2,NaN
Dalvin Tomlinson,https://www.pro-football-reference.com/players/T/TomlDa00.htm,2017,55,6,6,7,8,7
Obi Melifonwu,https://www.pro-football-reference.com/players/M/MeliOb00.htm,2017,56,1,0,NaN,NaN,NaN
Zach Cunningham,https://www.pro-football-reference.com/players/C/CunnZa00.htm,2017,57,6,9,8,6,3.333333333
Ethan Pocic,https://www.pro-football-reference.com/players/P/PociEt00.htm,2017,58,5,3,1,8,4
Tanoh Kpassagnon,https://www.pro-football-reference.com/players/K/KpasTa00.htm,2017,59,2,1,5,7,3
Chidobe Awuzie,https://www.pro-football-reference.com/players/A/AwuzCh00.htm,2017,60,3,5,6,2,5
Josh Jones,https://www.pro-football-reference.com/players/J/JoneJo06.htm,2017,61,3,2,0,4,0.666666667
JuJu Smith-Schuster,https://www.pro-football-reference.com/players/S/SmitJu00.htm,2017,62,10,11,4,7,1
Dion Dawkins,https://www.pro-football-reference.com/players/D/DawkDi00.htm,2017,63,5,5,7,9,12
Taylor Moton,https://www.pro-football-reference.com/players/M/MotoTa00.htm,2017,64,1,8,6,8,7
Larry Ogunjobi,https://www.pro-football-reference.com/players/O/OgunLa00.htm,2017,65,2,8,7,6,8
Ahkello Witherspoon,https://www.pro-football-reference.com/players/W/WithAh00.htm,2017,66,4,4,3,2,2
Alvin Kamara,https://www.pro-football-reference.com/players/K/KamaAl00.htm,2017,67,16,15,11,14,8
Dawuane Smoot,https://www.pro-football-reference.com/players/S/SmooDa00.htm,2017,68,2,1,2,4,5
Cooper Kupp,https://www.pro-football-reference.com/players/K/KuppCo00.htm,2017,69,9,6,9,7,18
Pat Elflein,https://www.pro-football-reference.com/players/E/ElflPa00.htm,2017,70,7,6,8,1.333333333,3
Dan Feeney,https://www.pro-football-reference.com/players/F/FeenDa00.htm,2017,71,5,9,8,7,2
Taywan Taylor,https://www.pro-football-reference.com/players/T/TaylTa00.htm,2017,72,2,4,0,0,NaN
Jordan Willis,https://www.pro-football-reference.com/players/W/WillJo09.htm,2017,73,2,2,1,1.333333333,1
Chris Wormley,https://www.pro-football-reference.com/players/W/WormCh00.htm,2017,74,1,4,4,2,6
Duke Riley,https://www.pro-football-reference.com/players/R/RileDu00.htm,2017,75,3,4,0.666666667,4,3
Alex Anzalone,https://www.pro-football-reference.com/players/A/AnzaAl00.htm,2017,76,2,4,0,5,5
Daeshon Hall,https://www.pro-football-reference.com/players/H/HallDa01.htm,2017,77,0,0,1,NaN,NaN
Tim Williams,https://www.pro-football-reference.com/players/W/WillTi00.htm,2017,78,1,1,0,NaN,NaN
ArDarius Stewart,https://www.pro-football-reference.com/players/S/StewAr00.htm,2017,79,1,NaN,NaN,NaN,NaN
Tarell Basham,https://www.pro-football-reference.com/players/B/BashTa00.htm,2017,80,1,0.666666667,3,5,4
Fabian Moreau,https://www.pro-football-reference.com/players/M/MoreFa00.htm,2017,81,1,4,3,2,5
Carlos Henderson,https://www.pro-football-reference.com/players/H/HendCa01.htm,2017,82,NaN,NaN,NaN,NaN,NaN
Derek Rivers,https://www.pro-football-reference.com/players/R/RiveDe00.htm,2017,83,NaN,1,NaN,1.333333333,1
Chris Godwin,https://www.pro-football-reference.com/players/G/GodwCh00.htm,2017,84,4,6,10,8,10
Antonio Garcia,https://www.pro-football-reference.com/players/G/GarcAn00.htm,2017,85,NaN,NaN,NaN,NaN,NaN
Kareem Hunt,https://www.pro-football-reference.com/players/H/HuntKa00.htm,2017,86,15,11,3,9,4
Davis Webb,https://www.pro-football-reference.com/players/W/WebbDa00.htm,2017,87,NaN,NaN,NaN,NaN,0
Eddie Vanderdoes,https://www.pro-football-reference.com/players/V/VandEd00.htm,2017,88,5,NaN,0,NaN,NaN
D'Onta Foreman,https://www.pro-football-reference.com/players/F/ForeDO00.htm,2017,89,2,0,NaN,1,5
Shaquill Griffin,https://www.pro-football-reference.com/players/G/GrifSh00.htm,2017,90,4,6,8,5,4
John Johnson,https://www.pro-football-reference.com/players/J/JohnJo10.htm,2017,91,4,5,3,6,5
Jourdan Lewis,https://www.pro-football-reference.com/players/L/LewiJo01.htm,2017,92,3,2,4,4,5
Montravius Adams,https://www.pro-football-reference.com/players/A/AdamMo00.htm,2017,93,0,2,2,1,2
Cameron Sutton,https://www.pro-football-reference.com/players/S/SuttCa00.htm,2017,94,1,1,1,3,6
Lano Hill,https://www.pro-football-reference.com/players/H/HillDe02.htm,2017,95,1,2,2,0,NaN
Kenny Golladay,https://www.pro-football-reference.com/players/G/GollKe00.htm,2017,96,4,8,9,3,4
Cordrea Tankersley,https://www.pro-football-reference.com/players/T/TankCo00.htm,2017,97,4,0,NaN,0,NaN
Chad Williams,https://www.pro-football-reference.com/players/W/WillCh05.htm,2017,98,0,1,0,NaN,NaN
Rasul Douglas,https://www.pro-football-reference.com/players/D/DougRa00.htm,2017,99,3,3,3,4,4
Jonnu Smith,https://www.pro-football-reference.com/players/S/SmitJo01.htm,2017,100,1,2,4,5,3
Brendan Langley,https://www.pro-football-reference.com/players/L/LangBr00.htm,2017,101,1,0,NaN,NaN,NaN
Nazair Jones,https://www.pro-football-reference.com/players/J/JoneNa00.htm,2017,102,2,1,NaN,NaN,NaN
Trey Hendrickson,https://www.pro-football-reference.com/players/H/HendTr00.htm,2017,103,1,1,2,9,11
C.J. Beathard,https://www.pro-football-reference.com/players/B/BeatC.00.htm,2017,104,3,3,NaN,2,0
James Conner,https://www.pro-football-reference.com/players/C/ConnJa00.htm,2017,105,1,10,4,6,7
Amara Darboh,https://www.pro-football-reference.com/players/D/DarbAm00.htm,2017,106,1,NaN,NaN,NaN,NaN
Kendell Beckwith,https://www.pro-football-reference.com/players/B/BeckKe00.htm,2017,107,5,NaN,NaN,NaN,NaN
Vince Biegel,https://www.pro-football-reference.com/players/B/BiegVi00.htm,2017,108,1,1,3,NaN,0
Jaleel Johnson,https://www.pro-football-reference.com/players/J/JohnJa09.htm,2017,109,0,2,3,7,1
Dede Westbrook,https://www.pro-football-reference.com/players/W/WestDe00.htm,2017,110,3,6,5,0,1
Tedric Thompson,https://www.pro-football-reference.com/players/T/ThomTe00.htm,2017,111,1,4,3,1,0
Eddie Jackson,https://www.pro-football-reference.com/players/J/JackEd01.htm,2017,112,8,13,10,7,4
Rayshawn Jenkins,https://www.pro-football-reference.com/players/J/JenkRa00.htm,2017,113,1,1,6,5,4
Samaje Perine,https://www.pro-football-reference.com/players/P/PeriSa00.htm,2017,114,5,0,0,2,3
Dorian Johnson,https://www.pro-football-reference.com/players/J/JohnDo03.htm,2017,115,NaN,NaN,NaN,NaN,NaN
Carl Lawson,https://www.pro-football-reference.com/players/L/LawsCa00.htm,2017,116,2,1,2,6,NaN
Josh Reynolds,https://www.pro-football-reference.com/players/R/ReynJo00.htm,2017,117,1,4,3,4,2.666666667
Mack Hollins,https://www.pro-football-reference.com/players/H/HollMa00.htm,2017,118,2,NaN,0.666666667,1,2
Tarik Cohen,https://www.pro-football-reference.com/players/C/CoheTa00.htm,2017,119,6,10,5,1,NaN
Ben Gedeon,https://www.pro-football-reference.com/players/G/GedeBe00.htm,2017,120,8,5,2,NaN,NaN
Joe Williams,https://www.pro-football-reference.com/players/W/WillJo12.htm,2017,121,NaN,NaN,NaN,NaN,NaN
Nico Siragusa,https://www.pro-football-reference.com/players/S/SiraNi00.htm,2017,122,NaN,NaN,NaN,NaN,NaN
Montae Nicholson,https://www.pro-football-reference.com/players/N/NichMo00.htm,2017,123,2,3,5,NaN,NaN
Jalen Reeves-Maybin,https://www.pro-football-reference.com/players/R/ReevJa00.htm,2017,124,1,1,3,1,4
Samson Ebukam,https://www.pro-football-reference.com/players/E/EbukSa00.htm,2017,125,2,7,3,9,6
Howard Wilson,https://www.pro-football-reference.com/players/W/WilsHo00.htm,2017,126,NaN,NaN,NaN,NaN,NaN
Michael Roberts,https://www.pro-football-reference.com/players/R/RobeMi01.htm,2017,127,0,1,NaN,NaN,NaN
Josh Malone,https://www.pro-football-reference.com/players/M/MaloJo00.htm,2017,128,1,0,0,0,NaN
David Sharpe,https://www.pro-football-reference.com/players/S/SharDa02.htm,2017,129,1,0,2,1,0
Julién Davenport,https://www.pro-football-reference.com/players/D/DaveJu00.htm,2017,130,3,7,3,1,3
Deatrich Wise Jr.,https://www.pro-football-reference.com/players/W/WiseDe00.htm,2017,131,3,4,5,6,6
Donnel Pumphrey,https://www.pro-football-reference.com/players/P/PumpDo00.htm,2017,132,NaN,NaN,NaN,NaN,NaN
Ryan Switzer,https://www.pro-football-reference.com/players/S/SwitRy00.htm,2017,133,1,2,0,NaN,NaN
Jamaal Williams,https://www.pro-football-reference.com/players/W/WillJa06.htm,2017,134,6,4,5,7,5
Joshua Dobbs,https://www.pro-football-reference.com/players/D/DobbJo00.htm,2017,135,NaN,0,NaN,0,NaN
Sean Harlow,https://www.pro-football-reference.com/players/H/HarlSe00.htm,2017,136,NaN,NaN,0,NaN,3
Zach Banner,https://www.pro-football-reference.com/players/B/BannZa00.htm,2017,137,0,NaN,1,1,0
Ryan Glasgow,https://www.pro-football-reference.com/players/G/GlasRy00.htm,2017,138,2,0,1,0,NaN
Jehu Chesson,https://www.pro-football-reference.com/players/C/ChesJe00.htm,2017,139,0,0,NaN,NaN,NaN
Wayne Gallman,https://www.pro-football-reference.com/players/G/GallWa00.htm,2017,140,4,2,1,5,0.666666667
Chad Hansen,https://www.pro-football-reference.com/players/H/HansCh00.htm,2017,141,1,NaN,NaN,2,NaN
Carlos Watkins,https://www.pro-football-reference.com/players/W/WatkCa00.htm,2017,142,3,0,2,5,8
