name,url,year_drafted,pick,year_1_av,year_2_av,year_3_av,year_4_av,year_5_av
Andrew Luck,https://www.pro-football-reference.com/players/L/LuckAn00.htm,2012,1,13,15,16,4,16
Robert Griffin III,https://www.pro-football-reference.com/players/G/GrifRo01.htm,2012,2,18,9,5,NaN,3
Trent Richardson,https://www.pro-football-reference.com/players/R/RichTr00.htm,2012,3,6,4.666666667,5,NaN,NaN
Matt Kalil,https://www.pro-football-reference.com/players/K/KaliMa00.htm,2012,4,9,7,7,7,1
Justin Blackmon,https://www.pro-football-reference.com/players/B/BlacJu00.htm,2012,5,6,3,NaN,NaN,NaN
Morris Claiborne,https://www.pro-football-reference.com/players/C/ClaiMo00.htm,2012,6,5,2,1,4,3
Mark Barron,https://www.pro-football-reference.com/players/B/BarrMa00.htm,2012,7,5,4,5.333333333,12,14
Ryan Tannehill,https://www.pro-football-reference.com/players/T/TannRy00.htm,2012,8,10,11,14,10,10
Luke Kuechly,https://www.pro-football-reference.com/players/K/KuecLu00.htm,2012,9,8,18,15,15,10
Stephon Gilmore,https://www.pro-football-reference.com/players/G/GilmSt00.htm,2012,10,5,3,5,5,7
Dontari Poe,https://www.pro-football-reference.com/players/P/PoexDo00.htm,2012,11,6,13,12,7,7
Fletcher Cox,https://www.pro-football-reference.com/players/C/CoxxFl00.htm,2012,12,4,8,13,13,10
Michael Floyd,https://www.pro-football-reference.com/players/F/FloyMi00.htm,2012,13,3,8,6,8,2.666666667
Michael Brockers,https://www.pro-football-reference.com/players/B/BrocMi00.htm,2012,14,5,7,8,8,6
Bruce Irvin,https://www.pro-football-reference.com/players/I/IrviBr00.htm,2012,15,3,7,7,6,7
Quinton Coples,https://www.pro-football-reference.com/players/C/CoplQu00.htm,2012,16,3,6,7,1.333333333,NaN
Dre Kirkpatrick,https://www.pro-football-reference.com/players/K/KirkDr00.htm,2012,17,0,4,2,6,6
Melvin Ingram,https://www.pro-football-reference.com/players/I/IngrMe00.htm,2012,18,2,1,4,8,7
Shea McClellin,https://www.pro-football-reference.com/players/M/McClSh00.htm,2012,19,2,4,3,5,4
Kendall Wright,https://www.pro-football-reference.com/players/W/WrigKe01.htm,2012,20,5,9,5,3,4
Chandler Jones,https://www.pro-football-reference.com/players/J/JoneCh03.htm,2012,21,6,9,5,12,9
