name,url,year_drafted,pick,year_1_av,year_2_av,year_3_av,year_4_av,year_5_av
Joe Burrow,https://www.pro-football-reference.com/players/B/BurrJo01.htm,2020,1,7,15,17,8,NaN
Chase Young,https://www.pro-football-reference.com/players/Y/YounCh04.htm,2020,2,14,4,1,2,NaN
Jeff Okudah,https://www.pro-football-reference.com/players/O/OkudJe00.htm,2020,3,2,0,5,3,NaN
Andrew Thomas,https://www.pro-football-reference.com/players/T/ThomAn02.htm,2020,4,6,5,12,4,NaN
Tua Tagovailoa,https://www.pro-football-reference.com/players/T/TagoTu00.htm,2020,5,5,7,12,16,NaN
Justin Herbert,https://www.pro-football-reference.com/players/H/HerbJu00.htm,2020,6,13,18,14,11,NaN
Derrick Brown,https://www.pro-football-reference.com/players/B/BrowDe05.htm,2020,7,6,6,8,10,NaN
Isaiah Simmons,https://www.pro-football-reference.com/players/S/SimmIs00.htm,2020,8,5,7,6,2,NaN
C.J. Henderson,https://www.pro-football-reference.com/players/H/HendCJ00.htm,2020,9,3,2,5,2,NaN
Jedrick Wills Jr.,https://www.pro-football-reference.com/players/W/WillJe04.htm,2020,10,8,6,8,3,NaN
Mekhi Becton,https://www.pro-football-reference.com/players/B/BectMe00.htm,2020,11,5,0,NaN,5,NaN
Henry Ruggs III,https://www.pro-football-reference.com/players/R/RuggHe00.htm,2020,12,4,4,NaN,NaN,NaN
Tristan Wirfs,https://www.pro-football-reference.com/players/W/WirfTr00.htm,2020,13,11,17,9,10,NaN
Javon Kinlaw,https://www.pro-football-reference.com/players/K/KinlJa00.htm,2020,14,7,2,3,4,NaN
Jerry Jeudy,https://www.pro-football-reference.com/players/J/JeudJe00.htm,2020,15,6,4,7,7,NaN
AJ Terrell,https://www.pro-football-reference.com/players/T/TerrAJ00.htm,2020,16,5,10,4,6,NaN
CeeDee Lamb,https://www.pro-football-reference.com/players/L/LambCe00.htm,2020,17,9,10,14,20,NaN
Austin Jackson,https://www.pro-football-reference.com/players/J/JackAu00.htm,2020,18,6,7,1,8,NaN
Damon Arnette,https://www.pro-football-reference.com/players/A/ArneDa00.htm,2020,19,2,0,NaN,NaN,NaN
K'Lavon Chaisson,https://www.pro-football-reference.com/players/C/ChaiKL00.htm,2020,20,2,4,1,1,NaN
Jalen Reagor,https://www.pro-football-reference.com/players/R/ReagJa00.htm,2020,21,4,3,1,2,NaN
Justin Jefferson,https://www.pro-football-reference.com/players/J/JeffJu00.htm,2020,22,13,13,15,8,NaN
Kenneth Murray,https://www.pro-football-reference.com/players/M/MurrKe00.htm,2020,23,8,2,7,7,NaN
Cesar Ruiz,https://www.pro-football-reference.com/players/R/RuizCe00.htm,2020,24,5,6,6,7,NaN
Brandon Aiyuk,https://www.pro-football-reference.com/players/A/AiyuBr00.htm,2020,25,6,7,11,15,NaN
Jordan Love,https://www.pro-football-reference.com/players/L/LoveJo03.htm,2020,26,NaN,2,1,15,NaN
Jordyn Brooks,https://www.pro-football-reference.com/players/B/BrooJo01.htm,2020,27,3,8,7,6,NaN
Patrick Queen,https://www.pro-football-reference.com/players/Q/QueePa00.htm,2020,28,9,9,9,15,NaN
Isaiah Wilson,https://www.pro-football-reference.com/players/W/WilsIs00.htm,2020,29,0,NaN,NaN,NaN,NaN
Noah Igbinoghene,https://www.pro-football-reference.com/players/I/IgbiNo00.htm,2020,30,2,1,1,0,NaN
Jeff Gladney,https://www.pro-football-reference.com/players/G/GladJe00.htm,2020,31,5,NaN,NaN,NaN,NaN
Clyde Edwards-Helaire,https://www.pro-football-reference.com/players/E/EdwaCl00.htm,2020,32,8,5,3,3,NaN
Tee Higgins,https://www.pro-football-reference.com/players/H/HiggTe00.htm,2020,33,7,10,10,6,NaN
Michael Pittman Jr.,https://www.pro-football-reference.com/players/P/PittMi01.htm,2020,34,5,12,7,10,NaN
D'Andre Swift,https://www.pro-football-reference.com/players/S/SwifDA00.htm,2020,35,6,7,8,10,NaN
Xavier McKinney,https://www.pro-football-reference.com/players/M/McKiXa00.htm,2020,36,2,7,3,6,NaN
Kyle Dugger,https://www.pro-football-reference.com/players/D/DuggKy00.htm,2020,37,3,6,6,7,NaN
Yetur Gross-Matos,https://www.pro-football-reference.com/players/G/GrosYe00.htm,2020,38,3,2,9,3,NaN
Robert Hunt,https://www.pro-football-reference.com/players/H/HuntRo01.htm,2020,39,5,6,8,5,NaN
Ross Blacklock,https://www.pro-football-reference.com/players/B/BlacRo00.htm,2020,40,1,2,1,0,NaN
Jonathan Taylor,https://www.pro-football-reference.com/players/T/TaylJo02.htm,2020,41,11,17,5,6,NaN
Laviska Shenault Jr.,https://www.pro-football-reference.com/players/S/ShenLa00.htm,2020,42,5,4,3,1,NaN
Cole Kmet,https://www.pro-football-reference.com/players/K/KmetCo00.htm,2020,43,2,5,7,7,NaN
Grant Delpit,https://www.pro-football-reference.com/players/D/DelpGr00.htm,2020,44,NaN,3,6,6,NaN
Antoine Winfield Jr.,https://www.pro-football-reference.com/players/W/WinfAn00.htm,2020,45,6,8,5,15,NaN
KJ Hamler,https://www.pro-football-reference.com/players/H/HamlKJ00.htm,2020,46,3,1,1,NaN,NaN
Marlon Davidson,https://www.pro-football-reference.com/players/D/DaviMa01.htm,2020,47,1,2,NaN,2,NaN
Darrell Taylor,https://www.pro-football-reference.com/players/T/TaylDa00.htm,2020,48,NaN,3,3,3,NaN
Chase Claypool,https://www.pro-football-reference.com/players/C/ClayCh01.htm,2020,49,8,7,3.333333333,0,NaN
Jaylon Johnson,https://www.pro-football-reference.com/players/J/JohnJa13.htm,2020,50,5,5,3,10,NaN
Trevon Diggs,https://www.pro-football-reference.com/players/D/DiggTr00.htm,2020,51,4,15,9,1,NaN
Cam Akers,https://www.pro-football-reference.com/players/A/AkerCa00.htm,2020,52,4,0,6,0.666666667,NaN
Jalen Hurts,https://www.pro-football-reference.com/players/H/HurtJa00.htm,2020,53,4,17,20,18,NaN
A.J. Epenesa,https://www.pro-football-reference.com/players/E/EpenAJ00.htm,2020,54,2,1,3,4,NaN
J.K. Dobbins,https://www.pro-football-reference.com/players/D/DobbJK00.htm,2020,55,7,NaN,4,0,NaN
Raekwon Davis,https://www.pro-football-reference.com/players/D/DaviRa03.htm,2020,56,7,7,6,4,NaN
Van Jefferson,https://www.pro-football-reference.com/players/J/JeffVa00.htm,2020,57,2,8,3,1.333333333,NaN
Ezra Cleveland,https://www.pro-football-reference.com/players/C/ClevEz00.htm,2020,58,5,6,7,3.333333333,NaN
Denzel Mims,https://www.pro-football-reference.com/players/M/MimsDe00.htm,2020,59,3,1,1,NaN,NaN
Josh Uche,https://www.pro-football-reference.com/players/U/UcheJo00.htm,2020,60,1,2,2,3,NaN
Kristian Fulton,https://www.pro-football-reference.com/players/F/FultKr00.htm,2020,61,1,4,5,4,NaN
AJ Dillon,https://www.pro-football-reference.com/players/D/DillAJ00.htm,2020,62,2,9,7,6,NaN
Willie Gay Jr.,https://www.pro-football-reference.com/players/G/GayJWi00.htm,2020,63,4,5,6,8,NaN
Jeremy Chinn,https://www.pro-football-reference.com/players/C/ChinJe00.htm,2020,64,14,13,4,3,NaN
Logan Wilson,https://www.pro-football-reference.com/players/W/WilsLo00.htm,2020,65,2,8,8,8,NaN
Antonio Gibson,https://www.pro-football-reference.com/players/G/GibsAn00.htm,2020,66,6,8,6,5,NaN
Julian Okwara,https://www.pro-football-reference.com/players/O/OkwaJu00.htm,2020,67,0,2,1,1,NaN
Ashtyn Davis,https://www.pro-football-reference.com/players/D/DaviAs00.htm,2020,68,2,3,1,3,NaN
Damien Lewis,https://www.pro-football-reference.com/players/L/LewiDa05.htm,2020,69,8,6,7,7,NaN
Brandon Jones,https://www.pro-football-reference.com/players/J/JoneBr06.htm,2020,70,2,5,2,3,NaN
Nnamdi Madubuike,https://www.pro-football-reference.com/players/M/MaduJu00.htm,2020,71,2,6,7,15,NaN
Josh Jones,https://www.pro-football-reference.com/players/J/JoneJo07.htm,2020,72,1,8,4,2,NaN
DaVon Hamilton,https://www.pro-football-reference.com/players/H/HamiDa02.htm,2020,73,3,4,6,1,NaN
Zack Baun,https://www.pro-football-reference.com/players/B/BaunZa00.htm,2020,74,3,3,1,4,NaN
Jonah Jackson,https://www.pro-football-reference.com/players/J/JackJo03.htm,2020,75,7,8,7,5,NaN
Ke'Shawn Vaughn,https://www.pro-football-reference.com/players/V/VaugKe00.htm,2020,76,1,1,0,0,NaN
Michael Ojemudia,https://www.pro-football-reference.com/players/O/OjemMi00.htm,2020,77,4,0,0,NaN,NaN
Matt Hennessy,https://www.pro-football-reference.com/players/H/HennMa00.htm,2020,78,2,6,2,NaN,NaN
Jabari Zuniga,https://www.pro-football-reference.com/players/Z/ZuniJa00.htm,2020,79,1,0,0,NaN,NaN
Lynn Bowden Jr.,https://www.pro-football-reference.com/players/B/BowdLy00.htm,2020,80,2,NaN,0,1,NaN
Bryan Edwards,https://www.pro-football-reference.com/players/E/EdwaBr01.htm,2020,81,2,4,0,NaN,NaN
Neville Gallimore,https://www.pro-football-reference.com/players/G/GallNe00.htm,2020,82,4,2,2,1,NaN
Lloyd Cushenberry III,https://www.pro-football-reference.com/players/C/CushLl00.htm,2020,83,6,7,3,7,NaN
Terrell Lewis,https://www.pro-football-reference.com/players/L/LewiTe00.htm,2020,84,1,2,2,NaN,NaN
Julian Blackmon,https://www.pro-football-reference.com/players/B/BlacJu01.htm,2020,85,5,2,4,6,NaN
Zack Moss,https://www.pro-football-reference.com/players/M/MossZa00.htm,2020,86,4,4,2,6,NaN
Anfernee Jennings,https://www.pro-football-reference.com/players/J/JennAn00.htm,2020,87,3,NaN,3,8,NaN
Jordan Elliott,https://www.pro-football-reference.com/players/E/ElliJo02.htm,2020,88,1,2,7,8,NaN
Cameron Dantzler,https://www.pro-football-reference.com/players/D/DantCa00.htm,2020,89,4,3,3,0,NaN
Jonathan Greenard,https://www.pro-football-reference.com/players/G/GreeJo04.htm,2020,90,1,5,3,8,NaN
Devin Asiasi,https://www.pro-football-reference.com/players/A/AsiaDe00.htm,2020,91,0,0,0,NaN,NaN
Devin Duvernay,https://www.pro-football-reference.com/players/D/DuveDe00.htm,2020,92,4,2,6,0,NaN
Darrynton Evans,https://www.pro-football-reference.com/players/E/EvanDa02.htm,2020,93,1,0,1,0.666666667,NaN
Josiah Deguara,https://www.pro-football-reference.com/players/D/DeguJo00.htm,2020,94,0,2,1,1,NaN
McTelvin Agim,https://www.pro-football-reference.com/players/A/AgimMc00.htm,2020,95,1,1,NaN,0,NaN
Lucas Niang,https://www.pro-football-reference.com/players/N/NianLu00.htm,2020,96,NaN,6,1,1,NaN
Jacob Phillips,https://www.pro-football-reference.com/players/P/PhilJa01.htm,2020,97,2,1,2,NaN,NaN
Malik Harrison,https://www.pro-football-reference.com/players/H/HarrMa06.htm,2020,98,4,3,4,4,NaN
