name,url,year_drafted,pick,year_1_av,year_2_av,year_3_av,year_4_av,year_5_av
Sam Bradford,https://www.pro-football-reference.com/players/B/BradSa00.htm,2010,1,9,3,10,6,NaN
Ndamukong Suh,https://www.pro-football-reference.com/players/S/SuhxNd99.htm,2010,2,15,6,12,16,18
Gerald McCoy,https://www.pro-football-reference.com/players/M/McCoGe99.htm,2010,3,6,2,10,14,9
Trent Williams,https://www.pro-football-reference.com/players/W/WillTr21.htm,2010,4,5,5,13,9,9
Eric Berry,https://www.pro-football-reference.com/players/B/BerrEr99.htm,2010,5,11,0,7,12,2
Russell Okung,https://www.pro-football-reference.com/players/O/OkunRu20.htm,2010,6,4,5,10,4,8
Joe Haden,https://www.pro-football-reference.com/players/H/HadeJo99.htm,2010,7,5,7,5,12,11
Rolando McClain,https://www.pro-football-reference.com/players/M/McClRo00.htm,2010,8,6,6,4,NaN,6
C.J. Spiller,https://www.pro-football-reference.com/players/S/SpilC.00.htm,2010,9,4,6,13,7,4
Tyson Alualu,https://www.pro-football-reference.com/players/A/AluaTy99.htm,2010,10,5,8,7,6,1
Anthony Davis,https://www.pro-football-reference.com/players/D/DaviAn27.htm,2010,11,7,8,8,8,3
Ryan Mathews,https://www.pro-football-reference.com/players/M/MathRy00.htm,2010,12,6,13,7,11,3
Brandon Graham,https://www.pro-football-reference.com/players/G/GrahBr99.htm,2010,13,3,0,4,1,2
Earl Thomas,https://www.pro-football-reference.com/players/T/ThomEa99.htm,2010,14,7,12,15,16,14
Jason Pierre-Paul,https://www.pro-football-reference.com/players/P/PierJa99.htm,2010,15,3,14,10,4,9
Derrick Morgan,https://www.pro-football-reference.com/players/M/MorgDe99.htm,2010,16,0,5,6,7,6
Mike Iupati,https://www.pro-football-reference.com/players/I/IupaMi20.htm,2010,17,7,8,15,8,9
Maurkice Pouncey,https://www.pro-football-reference.com/players/P/PounMa20.htm,2010,18,13,12,11,0,15
Sean Weatherspoon,https://www.pro-football-reference.com/players/W/WeatSe99.htm,2010,19,3,9,7,3,NaN
Kareem Jackson,https://www.pro-football-reference.com/players/J/JackKa99.htm,2010,20,5,5,7,5,5
Jermaine Gresham,https://www.pro-football-reference.com/players/G/GresJe00.htm,2010,21,4,5,7,4,4
Demaryius Thomas,https://www.pro-football-reference.com/players/T/ThomDe03.htm,2010,22,2,4,13,14,16
Bryan Bulaga,https://www.pro-football-reference.com/players/B/BulaBr20.htm,2010,23,7,9,5,NaN,9
